**kern	**chordsym	**phrase	**mint	**deg	**phrase
*ICvox	*M4/4	*	*ICvox	*ICvox	*
[8F#	.	.	-m2	3	B_verse
=16	=16	=16	=16	=16	=16
4F#]	G:maj9 (G B F# A)	.	P1	.	B_verse
4E	.	.	-M2	2	B_verse
8D	.	.	-M2	1	B_verse
4E	.	.	+M2	2	B_verse
[8D	.	.	-M2	1	B_verse
=17	=17	=17	=17	=17	=17
4D]	D:maj (D F# A)	newline	P1	.	B_verse
4r	.	.	r	r	B_verse
8r	.	.	r	r	B_verse
4D	.	.	P1	1	B_verse
[8A	.	.	+P5	5	B_verse
=18	=18	=18	=18	=18	=18
2A]	A:sus4(b7) (A D E G)	.	P1	.	B_verse
4r	.	.	r	r	B_verse
8AA	.	.	-P1	5	B_verse
[8BB	.	.	+M2	6	B_verse
=19	=19	=19	=19	=19	=19
2BB]	B:min7 (B D F# A)	.	P1	.	B_verse
2r	.	.	r	r	B_verse
=20	=20	=20	=20	=20	=20
1r	G:maj9 (G B F# A)	.	r	r	B_verse
=21	=21	=21	=21	=21	=21
2r	D:maj (D F# A)	newline	r	r	B_verse
8r	.	.	r	r	B_verse
8F#	.	.	+P5	3	B_verse
8F#	.	.	P1	3	B_verse
[8F#	.	.	P1	3	B_verse
=22	=22	=22	=22	=22	=22
4F#]	A:sus4(b7) (A D E G)	.	P1	.	B_verse
4E	.	.	-M2	2	B_verse
8D	.	.	-M2	1	B_verse
4E	.	.	+M2	2	B_verse
[8F#	.	.	+M2	3	B_verse
=23	=23	=23	=23	=23	=23
4F#]	B:min7 (B D F# A)	.	P1	.	B_verse
8r	.	.	r	r	B_verse
16AA	.	.	-M6	5	B_verse
16AA	.	.	P1	5	B_verse
8F#	.	.	+M6	3	B_verse
4G	.	.	+m2	4	B_verse
[8F#	.	.	-m2	3	B_verse
=24	=24	=24	=24	=24	=24
4F#]	G:maj9 (G B F# A)	.	P1	.	B_verse
4E	.	.	-M2	2	B_verse
8D	.	.	-M2	1	B_verse
4E	.	.	+M2	2	B_verse
[8D	.	.	-M2	1	B_verse
=25	=25	=25	=25	=25	=25
4D]	D:maj (D F# A)	newline	P1	.	B_verse
4r	.	.	r	r	B_verse
8r	.	.	r	r	B_verse
8D	.	.	P1	1	B_verse
8D	.	.	P1	1	B_verse
[8A	.	.	+P5	5	B_verse
=26	=26	=26	=26	=26	=26
2A]	A:sus4(b7) (A D E G)	.	P1	.	B_verse
4r	.	.	r	r	B_verse
8AA	.	.	-P1	5	B_verse
[8BB	.	.	+M2	6	B_verse
=27	=27	=27	=27	=27	=27
8BB]	B:min7 (B D F# A)	.	P1	.	B_verse
[4.F#	.	.	+P5	3	B_verse
4F#]	.	.	P1	.	B_verse
4r	.	.	r	r	B_verse
=28	=28	=28	=28	=28	=28
2r	G:maj9 (G B F# A)	.	r	r	B_verse
8D	.	.	-M3	1	B_verse
8D	.	.	P1	1	B_verse
8D	.	.	P1	1	B_verse
[8E	.	.	+M2	2	B_verse
=29	=29	=29	=29	=29	=29
*	*>C2_chorus	*>C2_chorus	*	*	C2_chorus
8E]	D:maj (D F# A)	newline	P1	.	C2_chorus
[4.F#	.	.	+M2	3	C2_chorus
2F#]	.	.	P1	.	C2_chorus
=30	=30	=30	=30	=30	=30
2r	A:sus4(b7) (A D E G)	.	r	r	C2_chorus
8E	.	.	-M2	2	C2_chorus
4E	.	.	P1	2	C2_chorus
8F#	.	.	+M2	3	C2_chorus
=31	=31	=31	=31	=31	=31
4.E	B:min7 (B D F# A)	.	-M2	2	C2_chorus
4D	.	.	-M2	1	C2_chorus
[4.D	.	.	P1	1	C2_chorus
=32	=32	=32	=32	=32	=32
4D]	G:maj9 (G B F# A)	.	P1	.	C2_chorus
4r	.	.	r	r	C2_chorus
2r	.	.	r	r	C2_chorus
=33	=33	=33	=33	=33	=33
*	*>B2_verse	*>B2_verse	*	*	B2_verse
2r	D:maj (D F# A)	newline	r	r	B2_verse
8r	.	.	r	r	B2_verse
8F#	.	.	+M3	3	B2_verse
8F#	.	.	P1	3	B2_verse
[8F#	.	.	P1	3	B2_verse
=34	=34	=34	=34	=34	=34
4F#]	A:sus4(b7) (A D E G)	.	P1	.	B2_verse
4E	.	.	-M2	2	B2_verse
8D	.	.	-M2	1	B2_verse
4E	.	.	+M2	2	B2_verse
[8F#	.	.	+M2	3	B2_verse
=35	=35	=35	=35	=35	=35
4F#]	B:min7 (B D F# A)	.	P1	.	B2_verse
8r	.	.	r	r	B2_verse
8AA	.	.	-M6	5	B2_verse
8F#	.	.	+M6	3	B2_verse
4G	.	.	+m2	4	B2_verse
[8F#	.	.	-m2	3	B2_verse
=36	=36	=36	=36	=36	=36
4F#]	G:maj9 (G B F# A)	.	P1	.	B2_verse
8E	.	.	-M2	2	B2_verse
4D	.	.	-M2	1	B2_verse
4E	.	.	+M2	2	B2_verse
[8D	.	.	-M2	1	B2_verse
=37	=37	=37	=37	=37	=37
4D]	D:maj (D F# A)	newline	P1	.	B2_verse
4r	.	.	r	r	B2_verse
8r	.	.	r	r	B2_verse
8D	.	.	P1	1	B2_verse
8D	.	.	P1	1	B2_verse
[8A	.	.	+P5	5	B2_verse
=38	=38	=38	=38	=38	=38
2A]	A:sus4(b7) (A D E G)	.	P1	.	B2_verse
4r	.	.	r	r	B2_verse
8AA	.	.	-P1	5	B2_verse
[8BB	.	.	+M2	6	B2_verse
=39	=39	=39	=39	=39	=39
8BB]	B:min7 (B D F# A)	.	P1	.	B2_verse
4.F#	.	.	+P5	3	B2_verse
2r	.	.	r	r	B2_verse
=40	=40	=40	=40	=40	=40
2r	G:maj9 (G B F# A)	.	r	r	B2_verse
8D	.	.	-M3	1	B2_verse
8D	.	.	P1	1	B2_verse
8D	.	.	P1	1	B2_verse
[8E	.	.	+M2	2	B2_verse
=41	=41	=41	=41	=41	=41
*	*>C_chorus	*>C_chorus	*	*	C_chorus
8E]	D:maj (D F# A)	newline	P1	.	C_chorus
[4.F#	.	.	+M2	3	C_chorus
2F#]	.	.	P1	.	C_chorus
=42	=42	=42	=42	=42	=42
2r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
8e	.	.	+m7	2	C_chorus
4e	.	.	P1	2	C_chorus
[8a	.	.	+P4	5	C_chorus
=43	=43	=43	=43	=43	=43
8a]	B:min7 (B D F# A)	.	P1	.	C_chorus
4g	.	.	-M2	4	C_chorus
4f#	.	.	-m2	3	C_chorus
4e	.	.	-M2	2	C_chorus
[8d	.	.	-M2	1	C_chorus
=44	=44	=44	=44	=44	=44
4d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8d	.	.	P1	1	C_chorus
4e	.	.	+M2	2	C_chorus
[8f#	.	.	+M2	3	C_chorus
=45	=45	=45	=45	=45	=45
2f#]	D:maj (D F# A)	newline	P1	.	C_chorus
2r	.	.	r	r	C_chorus
=46	=46	=46	=46	=46	=46
2r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
8e	.	.	-M2	2	C_chorus
4e	.	.	P1	2	C_chorus
8f#	.	.	+M2	3	C_chorus
=47	=47	=47	=47	=47	=47
4.e	B:min7 (B D F# A)	.	-M2	2	C_chorus
4d	.	.	-M2	1	C_chorus
4.d	.	.	P1	1	C_chorus
=48	=48	=48	=48	=48	=48
1r	G:maj9 (G B F# A)	.	r	r	C_chorus
=49	=49	=49	=49	=49	=49
1r	D:maj (D F# A)	newline	r	r	C_chorus
=50	=50	=50	=50	=50	=50
1r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
=51	=51	=51	=51	=51	=51
1r	B:min7 (B D F# A)	.	r	r	C_chorus
=52	=52	=52	=52	=52	=52
2r	G:maj9 (G B F# A)	.	r	r	C_chorus
8r	.	.	r	r	C_chorus
8d	.	.	P1	1	C_chorus
4d	.	.	P1	1	C_chorus
=53	=53	=53	=53	=53	=53
*	*>D_bridge	*>D_bridge	*	*	D_bridge
4.e	D:maj (D F# A)	newline	+M2	2	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=54	=54	=54	=54	=54	=54
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4.A	.	.	-M2	5	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	+P4	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=55	=55	=55	=55	=55	=55
4.e]	D:maj (D F# A)	.	P1	.	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=56	=56	=56	=56	=56	=56
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4.A	.	.	-M2	5	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	+P4	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=57	=57	=57	=57	=57	=57
2e]	D:maj (D F# A)	newline	P1	.	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	-M2	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=58	=58	=58	=58	=58	=58
2e]	G:maj9 (G B F# A)	.	P1	.	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
=59	=59	=59	=59	=59	=59
4.e	B:min7 (B D F# A)	.	+M2	2	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=60	=60	=60	=60	=60	=60
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
[4.A	.	.	-M2	5	D_bridge
4A]	.	.	P1	.	D_bridge
4r	.	.	r	r	D_bridge
=61	=61	=61	=61	=61	=61
4.r	D:maj (D F# A)	newline	r	r	D_bridge
8AA	.	.	-P1	5	D_bridge
8F#	.	.	+M6	3	D_bridge
4F#	.	.	P1	3	D_bridge
[8E	.	.	-M2	2	D_bridge
=62	=62	=62	=62	=62	=62
4E]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4r	.	.	r	r	D_bridge
2r	.	.	r	r	D_bridge
=63	=63	=63	=63	=63	=63
4.r	D:maj (D F# A)	.	r	r	D_bridge
8AA	.	.	-P5	5	D_bridge
8F#	.	.	+M6	3	D_bridge
4F#	.	.	P1	3	D_bridge
[8E	.	.	-M2	2	D_bridge
=64	=64	=64	=64	=64	=64
4E]	G:maj9 (G B F# A)	.	P1	.	D_bridge
8F#	.	.	+M2	3	D_bridge
4E	.	.	-M2	2	D_bridge
4D	.	.	-M2	1	D_bridge
[8D	.	.	P1	1	D_bridge
=65	=65	=65	=65	=65	=65
4D]	D:maj (D F# A)	newline	P1	.	D_bridge
4r	.	.	r	r	D_bridge
8A	.	.	+P5	5	D_bridge
8A	.	.	P1	5	D_bridge
8A	.	.	P1	5	D_bridge
8B	.	.	+M2	6	D_bridge
=66	=66	=66	=66	=66	=66
4.A	G:maj9 (G B F# A)	.	-M2	5	D_bridge
4.A	.	.	P1	5	D_bridge
4r	.	.	r	r	D_bridge
=67	=67	=67	=67	=67	=67
8B	B:min7 (B D F# A)	.	+M2	6	D_bridge
4d	.	.	+m3	1	D_bridge
4.d	.	.	P1	1	D_bridge
8d	.	.	P1	1	D_bridge
8e	.	.	+M2	2	D_bridge
=68	=68	=68	=68	=68	=68
2d	G:maj9 (G B F# A)	.	-M2	1	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	P1	1	D_bridge
4d	.	.	P1	1	D_bridge
=69	=69	=69	=69	=69	=69
4.e	D:maj (D F# A)	newline	+M2	2	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=70	=70	=70	=70	=70	=70
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4.A	.	.	-M2	5	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	+P4	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=71	=71	=71	=71	=71	=71
4.e]	D:maj (D F# A)	.	P1	.	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=72	=72	=72	=72	=72	=72
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4.A	.	.	-M2	5	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	+P4	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=73	=73	=73	=73	=73	=73
2e]	D:maj (D F# A)	newline	P1	.	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	-M2	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=74	=74	=74	=74	=74	=74
2e]	G:maj9 (G B F# A)	.	P1	.	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
=75	=75	=75	=75	=75	=75
4.e	B:min7 (B D F# A)	.	+M2	2	D_bridge
8d	.	.	-M2	1	D_bridge
4d	.	.	P1	1	D_bridge
8B	.	.	-m3	6	D_bridge
[8B	.	.	P1	6	D_bridge
=76	=76	=76	=76	=76	=76
8B]	G:maj9 (G B F# A)	.	P1	.	D_bridge
4A	.	.	-M2	5	D_bridge
8r	.	.	r	r	D_bridge
8d	.	.	+P4	1	D_bridge
8d	.	.	P1	1	D_bridge
8d	.	.	P1	1	D_bridge
[8e	.	.	+M2	2	D_bridge
=77	=77	=77	=77	=77	=77
*	*>C_chorus	*>C_chorus	*	*	C_chorus
8e]	D:maj (D F# A)	newline	P1	.	C_chorus
[4.f#	.	.	+M2	3	C_chorus
2f#]	.	.	P1	.	C_chorus
=78	=78	=78	=78	=78	=78
2r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
8e	.	.	-M2	2	C_chorus
4e	.	.	P1	2	C_chorus
[8a	.	.	+P4	5	C_chorus
=79	=79	=79	=79	=79	=79
8a]	B:min7 (B D F# A)	.	P1	.	C_chorus
4g	.	.	-M2	4	C_chorus
4f#	.	.	-m2	3	C_chorus
4e	.	.	-M2	2	C_chorus
[8d	.	.	-M2	1	C_chorus
=80	=80	=80	=80	=80	=80
4d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8d	.	.	P1	1	C_chorus
4e	.	.	+M2	2	C_chorus
[8f#	.	.	+M2	3	C_chorus
=81	=81	=81	=81	=81	=81
1f#]	D:maj (D F# A)	newline	P1	.	C_chorus
=82	=82	=82	=82	=82	=82
2r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
8e	.	.	-M2	2	C_chorus
4e	.	.	P1	2	C_chorus
8f#	.	.	+M2	3	C_chorus
=83	=83	=83	=83	=83	=83
4.e	B:min7 (B D F# A)	.	-M2	2	C_chorus
4d	.	.	-M2	1	C_chorus
[4.d	.	.	P1	1	C_chorus
=84	=84	=84	=84	=84	=84
2d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
2r	.	.	r	r	C_chorus
=85	=85	=85	=85	=85	=85
4.a	D:maj (D F# A)	newline	+P5	5	C_chorus
4.g	.	.	-M2	4	C_chorus
4f#	.	.	-m2	3	C_chorus
=86	=86	=86	=86	=86	=86
2.e	A:sus4(b7) (A D E G)	.	-M2	2	C_chorus
4r	.	.	r	r	C_chorus
=87	=87	=87	=87	=87	=87
4.a	B:min7 (B D F# A)	.	+P4	5	C_chorus
4.g	.	.	-M2	4	C_chorus
[4f#	.	.	-m2	3	C_chorus
=88	=88	=88	=88	=88	=88
4f#]	G:maj9 (G B F# A)	.	P1	.	C_chorus
2d	.	.	-M3	1	C_chorus
4r	.	.	r	r	C_chorus
=89	=89	=89	=89	=89	=89
4.a	D:maj (D F# A)	newline	+P5	5	C_chorus
4.g	.	.	-M2	4	C_chorus
4f#	.	.	-m2	3	C_chorus
=90	=90	=90	=90	=90	=90
[2e	A:sus4(b7) (A D E G)	.	-M2	2	C_chorus
8e]	.	.	P1	.	C_chorus
4e	.	.	P1	2	C_chorus
[8e	.	.	P1	2	C_chorus
=91	=91	=91	=91	=91	=91
4.e]	B:min7 (B D F# A)	.	P1	.	C_chorus
[8d	.	.	-M2	1	C_chorus
2d_	.	.	P1	.	C_chorus
=92	=92	=92	=92	=92	=92
4d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8d	.	.	P1	1	C_chorus
8d	.	.	P1	1	C_chorus
8d	.	.	P1	1	C_chorus
[8e	.	.	+M2	2	C_chorus
=93	=93	=93	=93	=93	=93
*	*>C_chorus	*>C_chorus	*	*	C_chorus
8e]	D:maj (D F# A)	newline	P1	.	C_chorus
[4.f#	.	.	+M2	3	C_chorus
2f#]	.	.	P1	.	C_chorus
=94	=94	=94	=94	=94	=94
2r	A:sus4(b7) (A D E G)	.	r	r	C_chorus
8e	.	.	-M2	2	C_chorus
4e	.	.	P1	2	C_chorus
[8a	.	.	+P4	5	C_chorus
=95	=95	=95	=95	=95	=95
8a]	B:min7 (B D F# A)	.	P1	.	C_chorus
4g	.	.	-M2	4	C_chorus
4f#	.	.	-m2	3	C_chorus
4e	.	.	-M2	2	C_chorus
[8d	.	.	-M2	1	C_chorus
=96	=96	=96	=96	=96	=96
4d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8d	.	.	P1	1	C_chorus
4e	.	.	+M2	2	C_chorus
[8f#	.	.	+M2	3	C_chorus
=97	=97	=97	=97	=97	=97
1f#_	D:maj (D F# A)	newline	P1	.	C_chorus
=98	=98	=98	=98	=98	=98
4f#]	A:sus4(b7) (A D E G)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8e	.	.	-M2	2	C_chorus
4e	.	.	P1	2	C_chorus
8f#	.	.	+M2	3	C_chorus
=99	=99	=99	=99	=99	=99
4.e	B:min7 (B D F# A)	.	-M2	2	C_chorus
4d	.	.	-M2	1	C_chorus
[4.d	.	.	P1	1	C_chorus
=100	=100	=100	=100	=100	=100
4d]	G:maj9 (G B F# A)	.	P1	.	C_chorus
4r	.	.	r	r	C_chorus
8e	.	.	+M2	2	C_chorus
4e	.	.	P1	2	C_chorus
8f#	.	.	+M2	3	C_chorus
=101	=101	=101	=101	=101	=101
*	*>A_interlude	*>A_interlude	*	*	A_interlude
4.e	D:maj (D F# A)	newline	-M2	2	A_interlude
[8d	.	.	-M2	1	A_interlude
2d]	.	.	P1	.	A_interlude
=102	=102	=102	=102	=102	=102
1r	D:maj (D F# A)	.	r	r	A_interlude
=103	=103	=103	=103	=103	=103
1r	D:maj (D F# A)	.	r	r	A_interlude
=104	=104	=104	=104	=104	=104
1r	D:maj (D F# A)	.	r	r	A_interlude
=105	=105	=105	=105	=105	=105
[1d	D:maj (D F# A)	newline	P1	1	A_interlude
=106	=106	=106	=106	=106	=106
2d]	D:maj (D F# A)	.	P1	.	A_interlude
4B	.	.	-m3	6	A_interlude
4A	.	.	-M2	5	A_interlude
=107	=107	=107	=107	=107	=107
4.B	D:maj (D F# A)	.	+M2	6	A_interlude
8A	.	.	-M2	5	A_interlude
[2A	.	.	P1	5	A_interlude
=108	=108	=108	=108	=108	=108
2A]	D:maj (D F# A)	.	P1	.	A_interlude
2r	.	.	r	r	A_interlude
=109	=109	=109	=109	=109	=109
8B	D:maj (D F# A)	newline	+M2	6	A_interlude
[8d	.	.	+m3	1	A_interlude
2.d_	.	.	P1	.	A_interlude
=110	=110	=110	=110	=110	=110
2d]	D:maj (D F# A)	.	P1	.	A_interlude
4B	.	.	-m3	6	A_interlude
8A	.	.	-M2	5	A_interlude
[8B	.	.	+M2	6	A_interlude
=111	=111	=111	=111	=111	=111
4.B]	D:maj (D F# A)	.	P1	.	A_interlude
8A	.	.	-M2	5	A_interlude
[2A	.	.	P1	5	A_interlude
=112	=112	=112	=112	=112	=112
2A]	D:maj (D F# A)	.	P1	.	A_interlude
2r	.	.	r	r	A_interlude
=113	=113	=113	=113	=113	=113
*	*>C_solo	*>C_solo	*	*	C_solo
1r	D:maj (D F# A)	newline	r	r	C_solo
=114	=114	=114	=114	=114	=114
1r	A:sus4(b7) (A D E G)	.	r	r	C_solo
=115	=115	=115	=115	=115	=115
1r	B:min7 (B D F# A)	.	r	r	C_solo
=116	=116	=116	=116	=116	=116
1r	G:maj9 (G B F# A)	.	r	r	C_solo
=117	=117	=117	=117	=117	=117
1r	D:maj (D F# A)	newline	r	r	C_solo
=118	=118	=118	=118	=118	=118
1r	A:sus4(b7) (A D E G)	.	r	r	C_solo
=119	=119	=119	=119	=119	=119
1r	B:min7 (B D F# A)	.	r	r	C_solo
=120	=120	=120	=120	=120	=120
1r	G:maj9 (G B F# A)	.	r	r	C_solo
=121	=121	=121	=121	=121	=121
1r	D:maj (D F# A)	newline	r	r	C_solo
=122	=122	=122	=122	=122	=122
1r	A:sus4(b7) (A D E G)	.	r	r	C_solo
=123	=123	=123	=123	=123	=123
1r	B:min7 (B D F# A)	.	r	r	C_solo
=124	=124	=124	=124	=124	=124
1r	G:maj9 (G B F# A)	.	r	r	C_solo
=125	=125	=125	=125	=125	=125
*	*>_fadeout	*>_fadeout	*	*	_fadeout
1r	D:maj (D F# A)	newline	r	r	_fadeout
=126	=126	=126	=126	=126	=126
1r	A:sus4(b7) (A D E G)	.	r	r	_fadeout
=127	=127	=127	=127	=127	=127
1r	B:min7 (B D F# A)	.	r	r	_fadeout
=128	=128	=128	=128	=128	=128
1r	G:maj9 (G B F# A)	.	r	r	_fadeout
=129	=129	=129	=129	=129	=129
1r	D:maj (D F# A)	newline	r	r	_fadeout
=130	=130	=130	=130	=130	=130
1r	A:sus4(b7) (A D E G)	.	r	r	_fadeout
=131	=131	=131	=131	=131	=131
1r	B:min7 (B D F# A)	.	r	r	_fadeout
=132	=132	=132	=132	=132	=132
1r	G:maj9 (G B F# A)	.	r	r	_fadeout
=133	=133	=133	=133	=133	=133
1r	D:maj (D F# A)	newline	r	r	_fadeout
=134	=134	=134	=134	=134	=134
1r	A:sus4(b7) (A D E G)	.	r	r	_fadeout
=135	=135	=135	=135	=135	=135
1r	B:min7 (B D F# A)	.	r	r	_fadeout
r;	r	.	r	r	_fadeout
r;	r	.	r	r	_fadeout
*-	*-	*-	*-	*-	*-
!!!BillboardChartDate: 1987/06/27	!!!BillboardChartDate: 1987/06/27	!!!BillboardChartDate: 1987/06/27	!!!BillboardChartDate: 1987/06/27
!!!BillboardPeak: 1	!!!BillboardPeak: 1	!!!BillboardPeak: 1	!!!BillboardPeak: 1
!!!BillboardWeeksOnChart: 18	!!!BillboardWeeksOnChart: 18	!!!BillboardWeeksOnChart: 18	!!!BillboardWeeksOnChart: 18
!!!COC: U2	!!!COC: U2	!!!COC: U2	!!!COC: U2
!!!ENC: Nathaniel Condit-Schultz	!!!ENC: Nathaniel Condit-Schultz	!!!ENC: Nathaniel Condit-Schultz	!!!ENC: Nathaniel Condit-Schultz
!!!EST: Awating manual error checking and editing.	!!!EST: Awating manual error checking and editing.	!!!EST: Awating manual error checking and editing.	!!!EST: Awating manual error checking and editing.
!!!OTL: With Or Without You	!!!OTL: With Or Without You	!!!OTL: With Or Without You	!!!OTL: With Or Without You
!!!RDF**chordsym: original McGill chord annotation + (implied pitch class set, with bass pitch in first position)	!!!RDF**chordsym: original McGill chord annotation + (implied pitch class set, with bass pitch in first position)	!!!RDF**chordsym: original McGill chord annotation + (implied pitch class set, with bass pitch in first position)	!!!RDF**chordsym: original McGill chord annotation + (implied pitch class set, with bass pitch in first position)
!!!RDF**harmony: **recip + pitch class of root + harmonic quality	!!!RDF**harmony: **recip + pitch class of root + harmonic quality	!!!RDF**harmony: **recip + pitch class of root + harmonic quality	!!!RDF**harmony: **recip + pitch class of root + harmonic quality
!!!RDF**leadinstrument: original McGill primary instrumentation annotation	!!!RDF**leadinstrument: original McGill primary instrumentation annotation	!!!RDF**leadinstrument: original McGill primary instrumentation annotation	!!!RDF**leadinstrument: original McGill primary instrumentation annotation
!!!RDF**phrase: newline = linebreak in original McGill transcription	!!!RDF**phrase: newline = linebreak in original McGill transcription	!!!RDF**phrase: newline = linebreak in original McGill transcription	!!!RDF**phrase: . = linebreak in original McGill transcription
!!!RDF**timestamp: McGill audio timestamp in seconds	!!!RDF**timestamp: McGill audio timestamp in seconds	!!!RDF**timestamp: McGill audio timestamp in seconds	!!!RDF**timestamp: McGill audio timestamp in seconds
!!!RDT: 2017/01/12/	!!!RDT: 2017/01/12/	!!!RDT: 2017/01/12/	!!!RDT: 2017/01/12/
!!!SampleActualRank: 38	!!!SampleActualRank: 38	!!!SampleActualRank: 38	!!!SampleActualRank: 38
!!!SampleID#: 0681	!!!SampleID#: 0681	!!!SampleID#: 0681	!!!SampleID#: 0681
!!!SampleTargetRank: 38	!!!SampleTargetRank: 38	!!!SampleTargetRank: 38	!!!SampleTargetRank: 38
