ARTIST	TITLE	Sample ID#	Chart Date	Target Rank	Actual Rank	Peak Rank	Weeks on Chart	
Cliff Richard	Carrie	51	1980-03-08	66	66	34	11	
Cliff Richard	Carrie	1222	1980-03-15	58	59	34	11	
Cliff Richard	Daddy's Home	1161	1982-03-27	34	34	23	13	
Cliff Richard	Devil Woman	1073	1976-08-07	42	42	6	22	
Cliff Richard	Living Doll	740	1959-10-12	48	46	30	13	
Cliff Richard	We Don't Talk Anymore	1273	1979-11-10	48	47	7	20	
Color Me Badd	I Adore Mi Amor	476	1991-08-24	19	18	1	20	
Commodores	Easy	341	1977-09-17	17	17	4	22	
Commodores	Easy	1157	1977-10-22	95	95	4	22	
Commodores	Lady (You Bring Me Up)	716	1981-07-11	36	35	8	22	
Commodores	Nightshift	992	1985-05-18	22	24	3	22	
Commodores	Still	507	1980-01-19	22	22	1	20	
Commodores	Three Times A Lady	1201	1978-09-02	1	2	1	20	
Corey Hart	In Your Soul	469	1988-07-02	56	56	38	10	
Corey Hart	In Your Soul	657	1988-08-13	89	90	38	10	
Cornelius Brothers & Sister Rose	Treat Her Like A Lady	932	1971-05-08	44	45	3	18	
Cornelius Brothers & Sister Rose	Treat Her Like A Lady	1280	1971-06-12	8	8	3	18	
Count Basie	Going To Chicago Blues	1149	1958-08-18	99	100	100	1	
Cream	Sunshine Of Your Love	114	1968-03-30	60	60	5	26	
Creedence Clearwater Revival	Bad Moon Rising	852	1969-05-03	82	80	2	14	
Creedence Clearwater Revival	I Put A Spell On You	61	1968-11-16	95	96	58	9	
Crosby, Stills & Nash	Got It Made	451	1989-03-11	83	81	69	8	
Crosby, Stills & Nash	Southern Cross	589	1982-10-09	36	36	18	17	
Crosby, Stills & Nash	Suite: Judy Blue Eyes	518	1969-10-18	64	64	21	12	
Crosby, Stills & Nash	Teach Your Children	905	1970-08-15	35	33	16	11	
Culture Club	I'll Tumble 4 Ya	1223	1983-07-23	28	29	9	16	
Culture Club	Karma Chameleon	979	1984-04-28	99	97	1	22	
Cyndi Lauper	All Through The Night	309	1984-11-03	21	20	5	19	
Cyndi Lauper	All Through The Night	769	1984-11-10	14	12	5	19	
Cyndi Lauper	All Through The Night	1084	1984-12-15	11	10	5	19	
Cyndi Lauper	I Drove All Night	1011	1989-07-29	46	44	6	15	
Cyndi Lauper	She Bop	16	1984-07-28	37	39	3	18	
Cyndi Lauper	She Bop	1274	1984-10-06	5	5	3	18	
Cyndi Lauper	The Goonies R Good Enough	401	1985-06-22	17	19	10	15	
Cyndi Lauper	True Colors	803	1986-09-13	38	40	1	20	
Daryl Hall & John Oates	Kiss On My List	18	1981-01-31	56	55	1	23	
Daryl Hall & John Oates	Maneater	633	1983-03-05	72	71	1	23	
Daryl Hall & John Oates	Rich Girl	485	1977-05-07	31	30	1	20	
Daryl Hall & John Oates	Sara Smile	708	1976-04-17	31	29	4	28	
Dave Dudley	Six Days On The Road	570	1963-06-15	76	75	32	11	
David Bowie	Blue Jean	818	1984-11-10	8	8	8	18	
David Bowie	Golden Years	415	1976-01-24	34	33	10	21	
David Bowie	Modern Love	970	1983-12-10	92	94	14	13	
David Bowie	Space Oddity	86	1973-04-21	22	21	15	14	
David Crosby & Graham Nash	Carry Me	1124	1975-12-06	52	52	52	6	
David Ruffin & Jimmy Ruffin	Stand By Me	119	1970-11-28	61	61	61	7	
De La Soul	Me Myself And I	887	1989-09-09	99	99	34	17	
Dean Martin	Everybody Loves Somebody	618	1964-07-04	47	46	1	15	
Dean Martin	I Will	734	1965-11-13	38	39	10	10	
Debarge	Time Will Reveal	1013	1984-02-11	45	44	18	18	
Depeche Mode	World In My Eyes	442	1990-12-22	54	52	52	10	
Depeche Mode	World In My Eyes	757	1990-11-24	70	71	52	10	
Diana Ross	Upside Down	1285	1980-12-20	68	68	1	29	
Digital Underground	The Humpty Dance	304	1990-04-28	24	26	11	23	
Digital Underground	The Humpty Dance	378	1990-04-28	25	26	11	23	
Digital Underground	The Humpty Dance	521	1990-08-11	86	85	11	23	
Dinah Washington	Unforgettable	192	1959-11-02	30	29	17	13	
Dinah Washington	Where Are You	722	1962-06-23	34	36	36	10	
Dinah Washington	Where Are You	1099	1962-06-16	46	46	36	10	
Dion	(I was) Born To Cry	1101	1962-04-28	70	71	42	7	
Dion	Abraham, Martin And John	1146	1968-11-16	10	9	4	14	
Dion	Love Came To Me	253	1962-12-22	10	10	10	11	
Dion	Love Came To Me	1152	1963-01-19	36	37	10	11	
Dion	Lovers Who Wander	1210	1962-04-21	86	86	3	12	
Dion	Ruby Baby	439	1963-02-09	6	7	2	13	
Dion	Runaround Sue	145	1961-12-18	22	20	1	14	
Dion	This Little Girl	1063	1963-06-08	40	39	21	8	
Dion	Where Or When	434	1960-03-07	15	15	3	16	
Dion	Where Or When	816	1960-03-14	18	17	3	16	
Dolly Parton	Baby I'm Burnin'	559	1979-01-27	31	31	25	14	
Dolly Parton	Baby I'm Burnin'	987	1978-12-09	87	88	25	14	
Dolly Parton	Starting Over Again	944	1980-05-17	37	36	36	10	
Don Gibson	Sea Of Heartbreak	169	1961-06-19	96	95	21	14	
Donna Fargo	Superman	358	1973-02-24	73	73	41	9	
Donna Fargo	Superman	874	1973-02-24	71	73	41	9	
Donna Summer	Last Dance	501	1978-07-01	17	17	3	21	
Donna Summer	Last Dance	1217	1978-09-23	99	98	3	21	
Donna Summer	Last Dance	1242	1978-05-20	77	75	3	21	
Donovan	Sunshine Superman	383	1966-08-13	19	20	1	13	
Dottie West	A Lesson In Leavin'	101	1980-03-08	85	85	73	5	
Double Exposure	Ten Percent	1164	1976-06-19	87	88	54	9	
Dr. Hook	If Not You	914	1977-01-15	96	97	55	11	
Dr. Hook	Only Sixteen	1190	1976-01-24	54	53	6	22	
Dr. Hook	Sexy Eyes	831	1980-03-08	48	48	5	21	
Dr. Hook	The Millionaire	1009	1975-09-06	93	95	95	5	
Dr. Hook	Walk Right In	761	1977-07-09	62	63	46	10	
Dr. Hook	Years From Now	656	1980-08-16	79	79	51	9	
Dr. John	Right Place Wrong Time	483	1973-06-16	13	11	9	20	
Duran Duran	All She Wants Is	592	1989-03-04	42	43	22	13	
Duran Duran	All She Wants Is	1226	1989-02-18	21	22	22	13	
Duran Duran	I Don't Want Your Love	1148	1989-01-28	84	85	4	16	
Duran Duran	Is There Something I Should Know	1043	1983-09-10	46	45	4	17	
Eagles	Already Gone	209	1974-05-04	99	97	32	15	
Eagles	Best Of My Love	1061	1975-02-22	4	2	1	19	
Eagles	Lyin' Eyes	296	1975-10-04	19	18	2	14	
Eagles	The Long Run	591	1980-03-15	99	99	8	15	
Earth, Wind & Fire	After The Love Has Gone	1056	1979-09-08	3	3	2	17	
Earth, Wind & Fire	After The Love Has Gone	1097	1979-07-28	32	31	2	17	
Earth, Wind & Fire	Getaway	735	1976-09-25	16	15	12	19	
Earth, Wind & Fire	September	804	1979-01-06	16	15	8	17	
Eddie Holland	Jamie	1046	1962-02-03	92	94	30	11	
Eddie Rabbitt	I Love A Rainy Night	1143	1981-03-21	9	9	1	28	
Edgar Winter	Frankenstein	1268	1973-03-17	96	97	1	20	
Edwin Starr	War	893	1970-07-25	24	25	1	15	
Elton John	Goodbye Yellow Brick Road	842	1973-11-03	38	40	2	17	
Elton John	Levon	752	1971-12-25	58	57	24	10	
Elton John	Philadelphia Freedom	354	1975-04-05	2	2	1	21	
Elton John	The Bitch Is Back	991	1974-12-07	79	78	4	14	
Elton John	Who Wears These Shoes?	1269	1984-11-17	36	35	16	14	
Elvis Presley	(Marie's the Name) His Latest Flame	617	1961-09-04	31	32	4	11	
Elvis Presley	(Marie's the Name) His Latest Flame	730	1961-09-04	30	32	4	11	
Elvis Presley	Ask Me	658	1964-11-14	23	22	12	12	
Elvis Presley	Ask Me	766	1964-12-05	11	12	12	12	
Elvis Presley	For Ol' Times Sake	222	1973-11-10	49	49	41	9	
Elvis Presley	For Ol' Times Sake	508	1973-09-29	58	58	41	9	
Elvis Presley	For Ol' Times Sake	1235	1973-09-22	81	81	41	9	
Elvis Presley	Guitar Man	289	1968-01-27	84	83	28	20	
Elvis Presley	I Really /on't Want To Know	386	1970-12-26	57	56	21	9	
Elvis Presley	I Really Don't Want To Know	444	1971-01-09	31	29	21	9	
Elvis Presley	If I Can Dream	543	1968-12-28	31	30	12	13	
Elvis Presley	Judy	565	1967-09-09	87	89	78	5	
Elvis Presley	Judy	923	1967-09-16	89	88	78	5	
Elvis Presley	Little Sister	159	1961-10-30	35	34	5	13	
Elvis Presley	My Boy	326	1975-03-29	58	57	20	11	
Elvis Presley	My Way	793	1978-01-21	64	65	22	12	
Elvis Presley	My Wish Came True	1055	1959-09-21	50	49	12	11	
Elvis Presley	One Night	399	1959-01-19	14	13	4	17	
Elvis Presley	She Thinks I Still Care	875	1977-02-05	39	39	31	13	
Elvis Presley	There Goes My Everything	993	1971-01-16	27	25	21	9	
Emerson, Lake & Palmer	Lucky Man	1180	1971-03-27	66	68	48	19	
Engelbert Humperdinck	After The Lovin'	506	1977-02-19	33	33	8	19	
Engelbert Humperdinck	After The Lovin'	636	1977-02-05	25	24	8	19	
Eric Carmen	"Hungry Eyes (from the film ""Dirty Dancing"")"	791	1988-03-05	12	11	4	24	
Eric Carmen	Sunrise	655	1976-08-28	67	66	34	10	
Eric Clapton	Forever Man	155	1985-04-20	28	27	26	12	
Eric Clapton	I Can't Stand It	898	1981-04-25	11	11	10	17	
Eric Clapton	Lay Down Sally	1040	1978-05-20	24	24	3	23	
Eric Clapton	Let It Rain	116	1972-12-02	48	48	48	13	
Eric Clapton	Promises	124	1978-12-23	14	13	9	18	
Eric Clapton	Promises	916	1978-12-23	13	13	9	18	
Eric Clapton	Willie And The Hand Jive	194	1974-12-21	38	36	26	9	
Etta James	Fool That I Am	515	1961-07-03	51	50	50	6	
Etta James	Fool That I Am	562	1961-07-10	56	54	50	6	
Etta James	Stop The Wedding	127	1962-08-25	44	44	34	8	
Etta James	Would It Make Any Difference To You	726	1963-01-12	81	79	64	7	
"Evelyn ""Champagne"" King"	I'm In Love	482	1981-08-15	62	61	40	14	
Everly Brothers	On The Wings Of A Nightingale	809	1984-11-03	87	88	50	12	
Fats Domino	Be My Guest	1072	1959-11-16	17	17	8	14	
Fats Domino	I Want To Walk You Home	773	1959-10-19	33	33	8	13	
Firehouse	Don't Treat Me Bad	258	1991-08-03	90	88	19	23	
Firehouse	Don't Treat Me Bad	349	1991-03-09	85	86	19	23	
Five Man Electrical Band	Absolutely Right	41	1971-11-06	28	27	26	8	
Flatt & Scruggs	Foggy Mountain Breakdown	37	1968-04-13	67	65	55	12	
Flatt & Scruggs	Foggy Mountain Breakdown	759	1968-03-30	76	74	55	12	
Floyd Cramer	Last Date	788	1960-12-31	2	3	2	20	
Focus	Hocus Pocus	381	1973-03-31	63	63	9	19	
Focus	Hocus Pocus	999	1973-04-21	38	39	9	19	
Foghat	Drivin' Wheel	75	1977-01-29	56	54	34	10	
Foghat	Drivin' Wheel	95	1976-12-04	65	65	34	10	
Fontella Bass	Rescue Me	777	1965-10-30	15	14	4	13	
Four Tops	Standing In The Shadows Of Love	1192	1967-02-18	24	26	6	10	
Four Tops	Standing In The Shadows Of Love	1283	1967-02-11	17	18	6	10	
Freddie Jackson	Have You Ever Loved Somebody	122	1987-02-21	75	74	69	9	
Freddy Fender	Living It Down	346	1976-11-06	76	75	72	4	
Freddy Fender	Secret Love	872	1975-11-22	28	28	20	11	
Gary U.S. Bonds	Quarter To Three	571	1961-05-29	65	65	1	15	
Gene Pitney	Town Without Pity	1037	1961-12-04	44	44	13	16	
General Public	Tenderness	389	1984-11-17	89	89	27	18	
Genesis	Abacab	1256	1982-02-20	26	26	26	14	
Genesis	Invisible Touch	1126	1986-07-26	3	3	1	17	
Genesis	Misunderstanding	393	1980-07-26	22	22	14	18	
Genesis	Tonight, Tonight, Tonight	236	1987-05-23	95	95	3	15	
George Benson	Breezin'	967	1976-11-06	65	67	63	6	
George Harrison	All Those Years Ago	517	1981-05-30	16	16	2	16	
George Harrison	All Those Years Ago	680	1981-08-15	51	51	2	16	
George Harrison	Blow Away	419	1979-04-07	26	26	16	14	
George Harrison	Crackerbox Palace	1282	1977-02-05	49	49	19	11	
George Harrison	Got My Mind Set On You	845	1988-01-23	3	4	1	22	
George Harrison	This Song	361	1977-01-15	23	25	25	11	
Gino Vannelli	Black Cars	68	1985-08-17	98	99	42	16	
Gino Vannelli	Hurts To Be In Love	62	1985-09-28	90	89	57	12	
Gino Vannelli	Hurts To Be In Love	1067	1985-11-30	75	76	57	12	
Gino Vannelli	Wild Horses	407	1987-05-16	71	72	55	15	
Gladys Knight & The Pips	Baby Don't Change Your Mind	705	1977-08-20	69	67	52	11	
Gladys Knight & The Pips	Baby Don't Change Your Mind	888	1977-08-06	67	67	52	11	
Gladys Knight & The Pips	Baby Don't Change Your Mind	1250	1977-07-16	83	85	52	11	
Gladys Knight & The Pips	Best Thing That Ever Happened To Me	380	1974-06-08	41	42	3	17	
Gladys Knight & The Pips	If I Were Your Woman	343	1971-02-13	9	9	9	15	
Gladys Knight & The Pips	Letter Full Of Tears	112	1962-01-27	27	27	19	11	
Gladys Knight & The Pips	Letter Full Of Tears	596	1962-02-10	19	19	19	11	
Glen Campbell	Galveston	224	1969-03-15	18	18	4	12	
Glen Campbell	It's Only Make Believe	623	1970-09-05	83	82	10	12	
Glen Campbell	Rhinestone Cowboy	246	1975-10-11	14	15	1	23	
Glen Campbell	Sunflower	347	1977-07-23	63	62	39	11	
Glen Campbell	Wichita Lineman	1114	1969-01-11	3	3	3	15	
Gloria Gaynor	Never Can Say Goodbye	190	1975-02-08	20	20	9	17	
Gloria Gaynor	Never Can Say Goodbye	1068	1974-12-07	35	34	9	17	
Golden Earring	Twilight Zone	170	1983-02-19	19	20	10	27	
Gordon Lightfoot	Beautiful	180	1972-07-01	69	68	58	11	
Graham Nash	Chicago	25	1971-07-17	38	36	35	11	
Grand Funk Railroad	Walk Like A Man	762	1973-12-08	62	64	19	12	
Grateful Dead	Sugar Magnolia	1034	1973-02-10	93	91	91	2	
Hank Snow	I've Been Everywhere	1059	1962-10-20	86	86	68	8	
Harry Chapin	Sunday Morning Sunshine	412	1972-11-25	78	80	75	6	
Heart	Crazy On You	33	1978-02-11	99	100	35	19	
Heart	Crazy On You	73	1976-06-12	49	49	35	19	
Heart	Magic Man	215	1976-10-30	12	10	9	23	
Heart	Magic Man	800	1976-08-07	71	73	9	23	
Heart	There's The Girl	281	1988-01-30	20	19	12	17	
Heart	There's The Girl	660	1988-01-02	16	18	12	17	
Heart	Who Will You Run To	1089	1987-12-12	89	90	7	22	
Hi-Five	I Like The Way (The Kissing Game)	856	1991-07-20	67	67	1	23	
Huey Lewis	I Want A New Drug	430	1984-05-12	77	77	6	19	
Ike & Tina Turner	I Want To Take You Higher	204	1970-08-29	35	34	34	18	
Ike & Tina Turner	I Want To Take You Higher	360	1970-08-15	38	37	34	18	
Ike & Tina Turner	I Want To Take You Higher	996	1970-08-22	35	35	34	18	
Ike & Tina Turner	It's Gonna Work Out Fine	212	1961-08-28	41	42	14	15	
INXS	Need You Tonight	687	1988-01-23	2	2	1	24	
Irma Thomas	Wish Someone Would Care	598	1964-04-25	34	32	17	12	
Iron Butterfly	In-A-Gadda-Da-Vida	261	1968-11-02	31	30	30	17	
Isaac Hayes	Do Your Thing	216	1972-04-08	29	30	30	11	
Isaac Hayes	The Look Of Love	978	1971-03-06	84	82	79	5	
J. Frank Wilson & The Cavaliers	Last Kiss	54	1964-09-05	71	73	2	20	
J. Frank Wilson & The Cavaliers	Last Kiss	247	1974-01-05	94	93	2	20	
J. Frank Wilson & The Cavaliers	Last Kiss	402	1964-10-17	4	5	2	20	
Jackie Wilson	Baby Workout	672	1963-05-25	60	59	5	12	
Jackson Browne	Boulevard	561	1980-08-16	22	24	19	16	
Jackson Browne	Boulevard	695	1980-07-26	33	33	19	16	
Jackson Browne	Here Come Those Tears Again	395	1977-04-02	54	54	23	9	
Jackson Browne	Redneck Friend	545	1973-10-20	85	85	85	10	
Jackson Browne	Running On Empty	1155	1978-03-18	27	25	11	17	
James Brown	Baby, You're Right	533	1961-08-28	65	65	49	4	
James Brown	Cold Sweat - Part 1	79	1967-07-29	56	58	7	12	
James Brown	Down And Out In New York City	1032	1973-04-07	50	52	50	7	
James Brown	Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	857	1970-09-12	34	32	15	9	
James Brown	I Don't Mind	3	1961-07-03	56	57	47	8	
James Brown	I Got You (I Feel Good)	314	1965-11-27	8	9	3	12	
James Brown	My Thang	490	1974-07-06	51	51	29	13	
James Brown	Think	640	1973-06-09	79	77	33	16	
James Taylor	Country Road	901	1971-02-13	68	67	37	8	
Jan & Dean	Sidewalk Surfin'	1272	1964-12-12	25	25	25	8	
